Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,198.960007,200.850006,196.600006,200.350006,200.350006,2633200
2020-12-21,197.000000,201.500000,192.850006,196.899994,196.899994,3157700
2020-12-22,198.500000,202.412003,196.513000,200.649994,200.649994,2244000
2020-12-23,199.740005,200.335007,194.360001,195.070007,195.070007,1878600
2020-12-24,194.539993,197.300003,191.800003,193.179993,193.179993,1132100
2020-12-28,193.250000,194.500000,178.800003,180.279999,180.279999,5843100
2020-12-29,185.089996,190.869995,183.309998,188.350006,188.350006,3111900
2020-12-30,190.000000,197.593002,186.679993,196.750000,196.750000,2526300
2020-12-31,196.740005,199.119995,194.529007,199.050003,199.050003,3775300
2021-01-04,200.750000,203.110001,191.869995,196.059998,196.059998,4332700
2021-01-05,198.100006,204.089996,195.089996,202.929993,202.929993,3297500
2021-01-06,201.580002,204.119995,193.910004,194.369995,194.369995,3224800
2021-01-07,198.020004,205.339996,197.889999,203.940002,203.940002,3392000
2021-01-08,205.940002,213.600006,202.429993,210.160004,210.160004,4604400
2021-01-11,209.000000,213.350006,206.889999,209.059998,209.059998,2553900
2021-01-12,214.380005,218.570007,212.399994,218.479996,218.479996,5471700
2021-01-13,223.610001,229.979996,220.880005,226.779999,226.779999,5065800
2021-01-14,230.880005,237.270004,227.647003,229.660004,229.660004,3890500
2021-01-15,230.880005,233.479996,222.080002,226.050003,226.050003,2346800
2021-01-19,232.449997,234.500000,226.050003,231.639999,231.639999,2515800
2021-01-20,238.199997,238.419998,232.080002,233.149994,233.149994,2152500
2021-01-21,233.380005,237.000000,232.000000,233.960007,233.960007,1648000
2021-01-22,232.610001,236.789993,230.250000,236.490005,236.490005,2043100
2021-01-25,240.000000,240.440002,226.139999,228.679993,228.679993,4295200
2021-01-26,230.000000,232.330002,215.809998,217.220001,217.220001,3869600
2021-01-27,212.264999,223.173004,203.059998,205.779999,205.779999,6373000
2021-01-28,210.000000,228.410004,209.300003,219.779999,219.779999,5835000
2021-01-29,218.059998,221.610001,211.250000,216.710007,216.710007,3419600
2021-02-01,222.970001,236.979996,222.970001,233.529999,233.529999,4397100
2021-02-02,235.919998,241.779999,231.000000,238.539993,238.539993,3377900
2021-02-03,244.770004,246.330002,239.703995,243.539993,243.539993,3816500
2021-02-04,244.289993,245.710007,237.320007,243.960007,243.960007,2435700
2021-02-05,244.000000,258.640015,242.393997,256.760010,256.760010,3637700
2021-02-08,258.690002,269.140015,258.309998,263.459991,263.459991,3684600
2021-02-09,266.100006,278.350006,266.010010,274.660004,274.660004,3978400
2021-02-10,277.089996,281.769989,265.200012,270.970001,270.970001,4306600
2021-02-11,273.000000,277.500000,268.265015,274.630005,274.630005,2404800
2021-02-12,270.369995,277.380005,268.779999,276.119995,276.119995,2604700
2021-02-16,281.920013,285.000000,275.250000,278.140015,278.140015,3052900
2021-02-17,275.109985,275.959991,264.510010,268.220001,268.220001,3655800
2021-02-18,263.869995,268.130005,255.149994,267.500000,267.500000,3309400
2021-02-19,271.829987,280.640015,270.880005,280.000000,280.000000,3561200
2021-02-22,272.769989,273.010010,250.929993,252.960007,252.960007,6114000
2021-02-23,240.360001,255.949997,229.270004,251.809998,251.809998,7832200
2021-02-24,253.110001,254.000000,240.639999,248.039993,248.039993,4219200
2021-02-25,248.000000,250.800003,232.065994,235.350006,235.350006,4754700
2021-02-26,235.910004,242.850006,225.000000,235.690002,235.690002,4502600
2021-03-01,250.750000,252.470001,244.710007,248.509995,248.509995,4083000
2021-03-02,270.000000,276.019989,246.250000,250.000000,250.000000,7843100
2021-03-03,259.359985,260.410004,246.500000,251.279999,251.279999,5080400
2021-03-04,239.619995,246.673996,218.440002,229.679993,229.679993,11574600
2021-03-05,228.669998,231.289993,209.229996,229.759995,229.759995,9360500
2021-03-08,227.210007,231.600006,204.830002,206.050003,206.050003,8293300
2021-03-09,222.990005,229.990005,216.089996,228.470001,228.470001,5949900
2021-03-10,226.000000,232.899994,214.910004,217.210007,217.210007,6311400
2021-03-11,230.550003,239.500000,226.000000,236.789993,236.789993,6173600
2021-03-12,230.000000,235.169998,222.080002,234.990005,234.990005,4015400
2021-03-15,227.500000,231.449997,223.500000,231.339996,231.339996,3409200
2021-03-16,234.679993,242.380005,228.789993,233.460007,233.460007,3751400
2021-03-17,226.899994,229.699997,214.500000,224.350006,224.350006,6356800
2021-03-18,216.449997,218.979996,209.565002,211.259995,211.259995,5054400
2021-03-19,211.740005,218.460007,209.000000,214.899994,214.899994,3433000
2021-03-22,218.389999,222.460007,215.029999,217.839996,217.839996,3132000
2021-03-23,220.000000,223.250000,214.600006,216.639999,216.639999,3149400
2021-03-24,218.000000,218.009995,196.701996,197.500000,197.500000,8021700
2021-03-25,190.000000,204.630005,189.610001,202.610001,202.610001,6522000
2021-03-26,205.199997,213.199997,201.610001,209.240005,209.240005,5270000
2021-03-29,208.729996,210.000000,199.869995,204.250000,204.250000,4326300
2021-03-30,203.000000,217.500000,199.779999,214.350006,214.350006,5073200
2021-03-31,218.000000,228.080002,217.419998,223.229996,223.229996,4872500
2021-04-01,228.500000,240.000000,228.210007,236.449997,236.449997,4868500
2021-04-05,239.509995,240.490005,230.529999,234.899994,234.899994,2373700
2021-04-06,237.000000,250.324997,235.199997,247.029999,247.029999,4752500
2021-04-07,243.000000,249.759995,242.020004,245.220001,245.220001,3714200
2021-04-08,250.000000,258.600006,249.229996,253.110001,253.110001,3912900
2021-04-09,253.029999,253.324997,248.649994,250.929993,250.929993,2657600
2021-04-12,247.809998,250.350006,240.820007,245.339996,245.339996,2915300
2021-04-13,245.000000,250.500000,239.399994,244.199997,244.199997,2186400
2021-04-14,247.389999,251.929993,242.880005,245.559998,245.559998,2776600
2021-04-15,248.229996,254.369995,245.130005,250.100006,250.100006,3953100
2021-04-16,254.179993,254.259995,247.179001,252.419998,252.419998,1925600
2021-04-19,249.289993,261.549988,247.550003,250.000000,250.000000,4399800
2021-04-20,252.899994,252.899994,232.250000,236.440002,236.440002,3749000
2021-04-21,230.429993,242.899994,228.220001,241.089996,241.089996,2212300
2021-04-22,245.000000,251.830002,243.240005,246.490005,246.490005,2989000
2021-04-23,250.000000,259.204987,249.289993,258.589996,258.589996,2700900
2021-04-26,259.850006,272.239990,258.000000,272.010010,272.010010,3885700
2021-04-27,272.000000,278.000000,267.119995,267.140015,267.140015,2829200
2021-04-28,268.529999,270.470001,263.640015,265.670013,265.670013,1841800
2021-04-29,269.980011,270.000000,255.229996,256.829987,256.829987,2448700
2021-04-30,255.009995,259.250000,252.100006,252.539993,252.539993,2011500
2021-05-03,256.000000,259.709991,252.720001,254.619995,254.619995,2141500
2021-05-04,248.990005,250.660004,236.500000,243.479996,243.479996,4445100
